ot_ref,nt_ref,votes,ot_text,nt_text
Isaiah 53:6,1 John 1:8,30,all of/ us like <the>/ sheep we have gone astray each to/ own way/ his we have turned and/ Yahweh he has caused to touch <on>/ him <obj.> [the] iniquity of all of/ us,"If we shall say that sin not we have, ourselves we deceive and the truth not is in us."
Isaiah 53:1,John 12:38,28,who? has he believed <to>/ report/ our and/ [the] arm of Yahweh to whom? has it been revealed,"so that the word of Isaiah the prophet may be fulfilled that said: Lord, who has believed in the report of us? And the arm of [the] Lord to whom has been revealed?"
Isaiah 53:2,Luke 24:46,27,and/ he grew up like <the>/ shoot <to>/ before/ him and/ like <the>/ root from/ ground dry not form [belonged] to/ him and/ not splendor and/ we will look at/ him and/ not appearance and/ we will desire/ him,And He said to them that Thus it has been written and thus it was necessary for Was to suffer the Christ and to rise out from [the] dead on the third day
Isaiah 53:12,Luke 22:37,26,<to>/ therefore I will allot a portion to/ him among the/ many [people] and/ with mighty [people] he will apportion [the] plunder because that he poured out to <the>/ death life/ his and/ with transgressors he was numbered and/ he [the] sin of many [people] he bore and/ for the/ transgressors he will make entreaty,"I say for to you that still this which [was] written it behooves to be accomplished in Me myself, <the> And with [the] lawless He was reckoned.’ And for the [thing] concerning Me an end have."
Isaiah 53:12,Luke 23:34,26,<to>/ therefore I will allot a portion to/ him among the/ many [people] and/ with mighty [people] he will apportion [the] plunder because that he poured out to <the>/ death life/ his and/ with transgressors he was numbered and/ he [the] sin of many [people] he bore and/ for the/ transgressors he will make entreaty,"<the> And Jesus was saying; Father, do forgive them; not for they know what they do. Dividing then the garments of Him they cast lots."
Isaiah 53:10,John 19:30,25,and/ Yahweh he desired to crush/ him he made [him] sick if it will make a guilt offering self/ his he will see offspring he will prolong days and/ [the] pleasure of Yahweh in/ hand/ his it will prosper,When then took the sour wine <the> Jesus He said; It has been finished. And having bowed the head He yielded up the spirit.
Isaiah 53:11,John 1:29,24,from/ [the] labor of self/ his he will see he will be satisfied by/ knowledge/ his he will justify [the] righteous [one] servant/ my to <the>/ many [people] and/ iniquities/ their he he will bear,"On the next day he sees <the> John <the> Jesus coming to him and says; Behold the Lamb <the> of God, who is taking away the sin of the world."
Isaiah 53:7,1 Peter 2:23,24,he was oppressed and/ he [was] afflicted and/ not he opened mouth/ his like <the>/ sheep [which] to the/ slaughter it is brought and/ like/ a ewe [which] <to>/ before shearers/ its it is dumb and/ not he opened mouth/ his,Who being reviled not was not reviling back suffering not was threatening He was delivering [Himself] however to the [One] judging justly;
Isaiah 53:10,John 12:24,24,and/ Yahweh he desired to crush/ him he made [him] sick if it will make a guilt offering self/ his he will see offspring he will prolong days and/ [the] pleasure of Yahweh in/ hand/ his it will prosper,"Amen Amen I say to you; only unless the grain <the> of wheat having fallen into the ground shall die, it alone abides; if however it shall die, much fruit it bears."
Isaiah 53:2,Philippians 2:7,23,and/ he grew up like <the>/ shoot <to>/ before/ him and/ like <the>/ root from/ ground dry not form [belonged] to/ him and/ not splendor and/ we will look at/ him and/ not appearance and/ we will desire/ him,"but Himself emptied [the] form of a servant having taken, in [the] likeness of men having been made,"
Isaiah 53:12,Colossians 2:15,22,<to>/ therefore I will allot a portion to/ him among the/ many [people] and/ with mighty [people] he will apportion [the] plunder because that he poured out to <the>/ death life/ his and/ with transgressors he was numbered and/ he [the] sin of many [people] he bore and/ for the/ transgressors he will make entreaty,"Having disarmed the rulers and the authorities He disgraced [them] in public, having triumphed over them in it."
Isaiah 53:10,2 Peter 1:17,22,and/ Yahweh he desired to crush/ him he made [him] sick if it will make a guilt offering self/ his he will see offspring he will prolong days and/ [the] pleasure of Yahweh in/ hand/ his it will prosper,"Having received for from God [the] Father honor and glory a voice was brought to Him such as follows by the Majestic Glory: The Son of Mine <the> beloved of Mine this is, in whom I myself found delight."
Isaiah 53:1,1 Corinthians 15:3,22,who? has he believed <to>/ report/ our and/ [the] arm of Yahweh to whom? has it been revealed,I delivered for to you in [the] foremost what also I received that Christ died for the sins of us according to the Scriptures
Isaiah 53:11,1 Peter 2:24,21,from/ [the] labor of self/ his he will see he will be satisfied by/ knowledge/ his he will justify [the] righteous [one] servant/ my to <the>/ many [people] and/ iniquities/ their he he will bear,Who the sins of us Himself bore in the body of Him on the tree so that <the> to sins having been dead <the> to righteousness we may live; Of whom by the wounds of him you have been healed.
Isaiah 53:9,2 Corinthians 5:21,21,and/ someone assigned with wicked [people] grave/ his and/ with a rich [person] in/ death<s>/ his on not violence he had done and/ not deceit [was] in/ mouth/ his,"The [One] for not having known sin for us sin He made, so that we ourselves may become [the] righteousness of God in Him."
Isaiah 53:2,John 1:14,20,and/ he grew up like <the>/ shoot <to>/ before/ him and/ like <the>/ root from/ ground dry not form [belonged] to/ him and/ not splendor and/ we will look at/ him and/ not appearance and/ we will desire/ him,"And the Word flesh became and He dwelt among us, and we beheld the glory of Him, a glory as of an only begotten from [the] Father, full of grace and truth."
