term,strongs,book,chapter,verse,word,tense,case
προσευχή,G4335,Psa,64,3,προσευχῆς,,Genitive
προσευχή,G4335,Psa,65,20,προσευχήν,,Accusative
προσευχή,G4335,Psa,68,14,προσευχῇ,,Dative
προσευχή,G4335,Psa,79,5,προσευχὴν,,Accusative
προσευχή,G4335,Psa,83,9,προσευχῆς,,Genitive
προσευχή,G4335,Psa,85,1,προσευχὴ,,Nominative
προσευχή,G4335,Psa,85,6,προσευχήν,,Accusative
προσευχή,G4335,Psa,87,3,προσευχή,,Nominative
προσευχή,G4335,Psa,87,14,προσευχή,,Nominative
προσευχή,G4335,Psa,89,1,προσευχὴ,,Nominative
προσευχή,G4335,Psa,101,1,προσευχὴ,,Nominative
προσευχή,G4335,Psa,101,2,προσευχῆς,,Genitive
προσευχή,G4335,Psa,101,18,προσευχὴν,,Accusative
προσευχή,G4335,Psa,108,7,προσευχὴ,,Nominative
προσευχή,G4335,Psa,140,2,προσευχή,,Nominative
προσευχή,G4335,Psa,140,5,προσευχή,,Nominative
προσευχή,G4335,Psa,141,1,προσευχή,,Nominative
προσευχή,G4335,Psa,142,1,προσευχῆς,,Genitive
προσευχή,G4335,Pro,35,9,προσευχὴν,,Accusative
προσευχή,G4335,Jon,2,8,προσευχή,,Nominative
προσευχή,G4335,Hab,3,1,προσευχὴ,,Nominative
προσευχή,G4335,Hab,3,16,προσευχῆς,,Genitive
προσευχή,G4335,Isa,38,5,προσευχῆς,,Genitive
προσευχή,G4335,Isa,38,9,προσευχὴ,,Nominative
προσευχή,G4335,Isa,56,7,προσευχῆς,,Genitive
προσευχή,G4335,Isa,56,7,προσευχῆς,,Genitive
προσευχή,G4335,Isa,60,7,προσευχῆς,,Genitive
προσευχή,G4335,Jer,11,14,προσευχῇ,,Dative
προσευχή,G4335,Lam,3,8,προσευχήν,,Accusative
προσευχή,G4335,Lam,3,44,προσευχῆς,,Genitive
προσευχή,G4335,Dan,9,3,προσευχὴν,,Accusative
προσευχή,G4335,Dan,9,17,προσευχῆς,,Genitive
προσευχή,G4335,Dan,9,18,προσευχαῖς,,Dative
προσευχή,G4335,Dan,9,20,προσευχαῖς,,Dative
προσευχή,G4335,Dan,9,21,προσευχῇ,,Dative
δέομαι,G1189,Gen,19,18,δέομαι,Present,
δέομαι,G1189,Gen,25,21,ἐδεῖτο,Imperfect,
δέομαι,G1189,Gen,43,20,δεόμεθα,Present,
δέομαι,G1189,Gen,44,18,δέομαι,Present,
δέομαι,G1189,Exo,4,10,δέομαι,Present,
δέομαι,G1189,Exo,4,13,δέομαι,Present,
δέομαι,G1189,Exo,32,11,ἐδεήθη,Aorist,
δέομαι,G1189,Exo,32,31,δέομαι,Present,
δέομαι,G1189,Num,12,11,δέομαι,Present,
δέομαι,G1189,Num,12,13,δέομαί,Present,
δέομαι,G1189,Deu,3,23,ἐδεήθην,Aorist,
δέομαι,G1189,Deu,9,18,ἐδεήθην,Aorist,
δέομαι,G1189,Deu,9,25,ἐδεήθην,Aorist,
δέομαι,G1189,Deu,9,25,ἐδεήθην,Aorist,
δέομαι,G1189,Jos,7,7,δέομαι,Present,
δέομαι,G1189,Jdg,13,8,ἐδεήθη,Aorist,
δέομαι,G1189,Job,19,16,ἐδέετο,Imperfect,
δέομαι,G1189,Dan,4,27,δεήθητι,Aorist,
δέομαι,G1189,Dan,4,33,ἐδεήθην,Aorist,
δέομαι,G1189,Dan,4,34,ἐδεήθην,Aorist,
προσεύχομαι,G4336,Gen,20,7,προσεύξεται,Future,
προσεύχομαι,G4336,Gen,20,17,προσηύξατο,Aorist,
προσεύχομαι,G4336,Exo,10,17,προσεύξασθε,Aorist,
προσεύχομαι,G4336,Jdg,13,8,προσηύξατο,Aorist,
προσεύχομαι,G4336,1Sa,1,10,προσηύξατο,Aorist,
προσεύχομαι,G4336,1Sa,1,12,προσευχομένη,Present,
προσεύχομαι,G4336,1Sa,1,26,προσεύξασθαι,Aorist,
προσεύχομαι,G4336,1Sa,1,27,προσηυξάμην,Aorist,
προσεύχομαι,G4336,1Sa,2,25,προσεύξονται,Future,
προσεύχομαι,G4336,1Sa,2,25,προσεύξεται,Future,
προσεύχομαι,G4336,1Sa,7,5,προσεύξομαι,Future,
προσεύχομαι,G4336,1Sa,8,6,προσηύξατο,Aorist,
προσεύχομαι,G4336,1Sa,12,19,πρόσευξαι,Aorist,
προσεύχομαι,G4336,1Sa,12,23,προσεύχεσθαι,Present,
προσεύχομαι,G4336,1Sa,14,45,προσηύξατο,Aorist,
προσεύχομαι,G4336,2Sa,7,27,προσεύξασθαι,Aorist,
προσεύχομαι,G4336,1Ki,8,28,προσεύχεται,Present,
προσεύχομαι,G4336,1Ki,8,29,προσεύχεται,Present,
προσεύχομαι,G4336,1Ki,8,30,προσεύξωνται,Aorist,
προσεύχομαι,G4336,1Ki,8,33,προσεύξονται,Future,
προσεύχομαι,G4336,1Ki,8,35,προσεύξονται,Future,
προσεύχομαι,G4336,1Ki,8,42,προσεύξονται,Future,
προσεύχομαι,G4336,1Ki,8,44,προσεύξονται,Future,
προσεύχομαι,G4336,1Ki,8,48,προσεύξονται,Future,
προσεύχομαι,G4336,1Ki,8,54,προσευχόμενος,Present,
προσεύχομαι,G4336,2Ki,4,33,προσηύξατο,Aorist,
προσεύχομαι,G4336,2Ki,6,17,προσεύξατο,Aorist,
προσεύχομαι,G4336,2Ki,6,18,προσηύξατο,Aorist,
προσεύχομαι,G4336,2Ki,19,20,προσηύξω,Aorist,
προσεύχομαι,G4336,1Ch,17,25,προσεύξασθαι,Aorist,
προσεύχομαι,G4336,2Ch,6,19,προσεύχεται,Present,
προσεύχομαι,G4336,2Ch,6,20,προσεύχεται,Present,
προσεύχομαι,G4336,2Ch,6,21,προσεύξωνται,Aorist,
προσεύχομαι,G4336,2Ch,6,24,προσεύξωνται,Aorist,
προσεύχομαι,G4336,2Ch,6,26,προσεύξονται,Future,
προσεύχομαι,G4336,2Ch,6,32,προσεύξωνται,Aorist,
προσεύχομαι,G4336,2Ch,6,34,προσεύξωνται,Aorist,
προσεύχομαι,G4336,2Ch,6,38,προσεύξωνται,Aorist,
προσεύχομαι,G4336,2Ch,7,1,προσευχόμενος,Present,
προσεύχομαι,G4336,2Ch,7,14,προσεύξωνται,Aorist,
προσεύχομαι,G4336,2Ch,30,18,προσηύξατο,Aorist,
προσεύχομαι,G4336,2Ch,32,20,προσηύξατο,Aorist,
προσεύχομαι,G4336,2Ch,32,24,προσηύξατο,Aorist,
προσεύχομαι,G4336,2Ch,33,13,προσηύξατο,Aorist,
προσεύχομαι,G4336,Ezr,6,10,προσεύχωνται,Present,
προσεύχομαι,G4336,Ezr,10,1,προσηύξατο,Aorist,
προσεύχομαι,G4336,Ezr,10,1,προσευχόμενος,Present,
προσεύχομαι,G4336,Ezr,11,4,προσευχόμενος,Present,
προσεύχομαι,G4336,Ezr,11,6,προσεύχομαι,Present,
προσεύχομαι,G4336,Ezr,12,4,προσηυξάμην,Aorist,
προσεύχομαι,G4336,Ezr,14,3,προσηυξάμεθα,Aorist,
προσεύχομαι,G4336,Est,5,1,προσευχομένη,Present,
προσεύχομαι,G4336,Psa,5,3,προσεύξομαι,Future,
προσεύχομαι,G4336,Psa,31,6,προσεύξεται,Future,
προσεύχομαι,G4336,Psa,71,15,προσεύξονται,Future,
προσεύχομαι,G4336,Psa,108,4,προσευχόμην,Imperfect,
προσεύχομαι,G4336,Jon,2,2,προσηύξατο,Aorist,
προσεύχομαι,G4336,Jon,4,2,προσεύξατο,Aorist,
προσεύχομαι,G4336,Isa,16,12,προσεύξασθαι,Aorist,
προσεύχομαι,G4336,Isa,37,15,προσεύξατο,Aorist,
προσεύχομαι,G4336,Isa,37,21,προσηύξω,Aorist,
προσεύχομαι,G4336,Isa,38,2,προσηύξατο,Aorist,
προσεύχομαι,G4336,Isa,44,17,προσεύχεται,Present,
προσεύχομαι,G4336,Isa,45,14,προσεύξονται,Future,
προσεύχομαι,G4336,Isa,45,20,προσευχόμενοι,Present,
προσεύχομαι,G4336,Jer,7,16,προσεύχου,Present,
προσεύχομαι,G4336,Jer,11,14,προσεύχου,Present,
προσεύχομαι,G4336,Jer,14,11,προσεύχου,Present,
προσεύχομαι,G4336,Jer,36,7,προσεύξασθε,Aorist,
προσεύχομαι,G4336,Jer,36,12,προσεύξασθε,Aorist,
προσεύχομαι,G4336,Jer,39,16,προσευξάμην,Aorist,
προσεύχομαι,G4336,Jer,44,3,πρόσευξαι,Aorist,
προσεύχομαι,G4336,Jer,49,2,πρόσευξαι,Aorist,
προσεύχομαι,G4336,Jer,49,4,προσεύξομαι,Future,
προσεύχομαι,G4336,Jer,49,20,πρόσευξαι,Aorist,
προσεύχομαι,G4336,Dan,3,24,προσηύξατο,Aorist,
προσεύχομαι,G4336,Dan,3,25,προσηύξατο,Aorist,
προσεύχομαι,G4336,Dan,6,6,προσεύχεται,Present,
προσεύχομαι,G4336,Dan,6,9,προσεύχεται,Present,
προσεύχομαι,G4336,Dan,9,4,προσηυξάμην,Aorist,
προσεύχομαι,G4336,Dan,9,20,προσευχόμενος,Present,
