ot_ref,nt_ref,votes,ot_text,nt_text
Isaiah 25:8,Revelation 21:4,94,he will swallow up <the>/ death to/ perpetuity and/ he will wipe away [the] Lord Yahweh tear[s] from/ on every face and/ [the] reproach of people/ his he will remove from/ on all the/ earth for Yahweh he has spoken,"And He will wipe away the God every tear from the eyes of them, and <the> death not will be any longer nor mourning nor crying nor pain not they will be any longer; because the former things have passed away."
Isaiah 55:7,2 Corinthians 10:5,90,let him forsake a wicked [person] way/ his and/ a person of wickedness thoughts/ his and/ let him return to Yahweh so/ he may have compassion on/ him and/ to God/ our for he will increase to/ forgive,and every high thing lifting itself up against the knowledge <the> of God and taking captive every thought into the obedience <the> of Christ
Isaiah 61:6,1 Peter 2:9,89,and/ you priests of Yahweh you will be called [the] servants of God/ our it will be said of/ you [the] wealth of nations you will consume and/ in/ abundance/ their you will boast,"You yourselves however [are] a race chosen, a royal priesthood, a nation holy, a people for [His] possession, so that the excellencies you may proclaim of the [One] out of darkness you having called to the marvelous of Him light;"
Isaiah 43:2,2 Corinthians 12:9,89,if you will pass in the/ waters [will be] with/ you I and/ in the/ rivers not they will overflow/ you if you will walk in fire not you will be burned and/ flame not it will burn <in>/ you,"And He has said to me; Suffices you the grace of Mine; the for power of mine in weakness is finished. Most gladly therefore rather will I boast in the weaknesses of mine, so that may rest upon me myself the power <the> of Christ."
Isaiah 41:14,Hebrews 13:6,87,may not you be afraid O worm of Jacob O men of Israel I I will help/ you [the] utterance of Yahweh and/ [is] redeemer/ your [the] holy [one] of Israel,"So are confident we to say: [The] Lord [is] my helper, and not I will be afraid; what will do to me man?"
Isaiah 53:4,Matthew 8:17,86,nevertheless sicknesses/ our he he bore and/ pains/ our he carried/ them and/ we we considered/ him stricken struck of God and/ afflicted,so that it may be fulfilled that having been spoken through Isaiah the prophet saying; Himself the infirmities of us He took and <the> [our] diseases bore.
Isaiah 11:2,Ephesians 1:17,83,and/ it will rest on/ him [the] spirit of Yahweh a spirit of wisdom and/ understanding a spirit of counsel and/ strength a spirit of knowledge and/ [the] fear of Yahweh,"that the God of the Lord of us Jesus Christ, the Father <the> of glory, may give to you [a] spirit of wisdom and revelation in [the] knowledge of Him,"
Isaiah 29:13,Matthew 15:8,78,and/ he said [the] Lord because for it has drawn near the/ people <the>/ this with/ mouth/ its and/ with/ lips/ its they have honored/ me and/ heart/ its it has made far away from/ me and/ it has been fear/ their [of]/ me a commandment of people [which] has been taught,"draws near to me <the> people this with the mouth of them and with the lips Me it honors, the however heart of them far away is kept from Me."
Isaiah 9:6,John 1:1,76,for a child he will be born to/ us a son he will be given to/ us and/ it was the/ dominion on shoulder/ his and/ someone called name/ his a wonder a counselor God mighty father of/ perpetuity prince of peace,"In [the] beginning was the Word, and the Word was with <the> God, and God was the Word."
Isaiah 49:2,Hebrews 4:12,76,and/ he made mouth/ my like/ a sword sharp in/ [the] shadow of hand/ his he hid/ me and/ he made/ me <into>/ an arrow polished in/ quiver/ his he concealed/ me,"Living [is] for the word <the> of God and active and sharper than any sword two-edged even penetrating as far as [the] division of soul then and spirit, of joints and also marrows, and able to judge [the] thoughts and intentions of [the] heart;"
Isaiah 55:3,Hebrews 3:7,73,incline ear/ your and/ come to/ me listen so/ may it live self/ your and/ I will make to/ you a covenant of perpetuity [the] covenant loyalti<es> of David <the>/ reliable,"Therefore, even as says the Spirit <the> Holy: Today if the voice of Him you shall hear,"
Isaiah 35:4,1 Corinthians 16:13,71,say to/ [people] hasty of heart be strong may not you be afraid here! God/ your vengeance he will come [the] recompense of God he he will come and/ he may deliver/ you,"do watch, do stand firm in the faith, do act like men, do be strong."
Isaiah 52:7,Romans 10:15,71,how! they are beautiful on the/ mountains [the] feet of [one who] bears news [one who] proclaims peace [one who] bears news good [one who] proclaims salvation [one who] says to/ Zion he reigns God/ your,How now shall they preach only unless they shall be sent? Even as it has been written: How beautiful the feet of those evangelising [about] peace of those evangelising the good [things]!
Isaiah 49:8,2 Corinthians 6:2,70,thus he says Yahweh in/ a time of favor I will answer/ you and/ on/ a day of salvation I will help/ you and/ I will watch over/ you and/ I will make/ you <into>/ a covenant of [the] people to/ raise up [the] land to/ give as inheritance inheritances desolate,"He says for: In a time acceptable I listened to you and in a day of salvation I helped you; Behold now [is the] time of favor, behold now [is the] day of salvation;"
Isaiah 6:9,Matthew 13:14,69,and/ he said go and/ you will say to the/ people <the>/ this hear continually <to hear> and/ may not you understand and/ see continually <to see> and/ may not you perceive,"And is fulfilled concerning them the prophecy of Isaiah who is saying: In hearing you will hear and certainly not may understand, and looking you will look and certainly not may perceive."
Isaiah 65:17,1 Corinthians 2:9,68,for here/ I [am] about to create heavens new and/ an earth new and/ not they will be remembered the/ former [things] and/ not they will come up on a heart,"but even as it has been written: What eye not has seen and ear not has heard and into heart of man not has entered, what has prepared <the> God for those loving Him."
Isaiah 50:7,Romans 8:31,68,and/ [the] Lord Yahweh he helps <to>/ me there- -fore not I have been humiliated there- -fore I have made face/ my like <the>/ flint and/ I have perceived that not I will be put to shame,"What then will we say to these things? If <the> God [is] for us, who [can be] against us?"
Isaiah 26:19,Ephesians 5:14,68,they will live dead [ones]/ your corpse/ my they will rise/ ! awake and/ shout for joy O [those who] dwell of dust for [will be the] dew of lights dew/ your and/ [the] earth [the] shades it will make fall,"[14] Therefore it says: do awake you who [are] sleeping and do rise up out from the dead, and will shine upon you <the> Christ."
Isaiah 53:7,Acts 8:32,68,he was oppressed and/ he [was] afflicted and/ not he opened mouth/ his like <the>/ sheep [which] to the/ slaughter it is brought and/ like/ a ewe [which] <to>/ before shearers/ its it is dumb and/ not he opened mouth/ his,"<the> Now the passage of the Scripture which he was reading was this: As a sheep to slaughter He was led, and as a lamb before the [one who] shearing him [is] silent, so not He opens the mouth of Him."
Isaiah 48:17,Matthew 11:28,68,thus he says Yahweh redeemer/ your [the] holy [one] of Israel I [am] Yahweh God/ your [who] teaches/ you to/ profit [who] leads/ you in/ [the] way [which] you will go,"Come to Me all you who [are] toiling and burdened, and I myself will give rest to you."
Isaiah 53:6,Romans 5:8,67,all of/ us like <the>/ sheep we have gone astray each to/ own way/ his we have turned and/ Yahweh he has caused to touch <on>/ him <obj.> [the] iniquity of all of/ us,"Demonstrates however the His own love to us <the> God, that still sinners when being we Christ for us died."
Isaiah 55:6,James 4:8,67,seek Yahweh when/ he lets be found/ himself call on/ him when/ is/ he near,"do draw near <the> to God and He will draw near to you. do cleanse [your] hands, [you] sinners, and do purify hearts, [you] double-minded."
Isaiah 41:17,Hebrews 13:5,66,the/ poor [people] and/ the/ needy [people] [are] seeking water and/ there not tongue/ their with <the>/ thirst it is dry I Yahweh I will answer/ them [the] God of Israel not I will forsake/ them,"[Let be] without covetousness <the> [your] manner of life; being satisfied with the present; He Himself for has said: Certainly not you shall I leave, nor certainly not you shall I forsake;"
Isaiah 41:10,Matthew 28:20,64,may not you be afraid for [am] with/ you I may not you fear for I [am] God/ your I have strengthened/ you also I have helped/ you also I have supported/ you with/ [the] right [hand] of righteousness/ my,teaching them to observe all things as much as I commanded you; And behold I myself with you am all the days until the completion of the age. Amen
Isaiah 1:16,James 1:27,64,wash cleanse yourselves remove [the] wickedness of deeds/ your from/ before eyes/ my cease to do evil,"Religion pure and undefiled before the God and Father this is, to visit orphans and widows in the tribulation of them, unstained oneself to keep from the world."
Isaiah 35:4,Matthew 11:5,64,say to/ [people] hasty of heart be strong may not you be afraid here! God/ your vengeance he will come [the] recompense of God he he will come and/ he may deliver/ you,"Blind receive sight, and lame walk, lepers are cleansed, and deaf hear, and dead are raised, and poor are evangelised;"
Isaiah 34:4,Matthew 24:35,63,and/ they will rot away all [the] host of the/ heavens and/ they will be rolled up like <the>/ scroll the/ heavens and/ all host/ their it will wither as/ withers leafage from/ a vine and/ like/ withered fruit from/ a fig tree,"The heaven and the earth will pass away, <the> but the words of Mine certainly not may pass away."
Isaiah 12:2,John 14:1,62,here! God [is] salvation/ my I will trust and/ not I will be in dread for [is] might/ my and/ strength Yahweh Yahweh and/ he has become of/ me <into>/ salvation,Not should be troubled of you the heart; You believe in <the> God also in Me myself believe.
Isaiah 9:6,Matthew 1:23,62,for a child he will be born to/ us a son he will be given to/ us and/ it was the/ dominion on shoulder/ his and/ someone called name/ his a wonder a counselor God mighty father of/ perpetuity prince of peace,"Behold the virgin in womb [pregnancy] will have and she will bear a son, and they will call the name of Him Immanuel, which is being translated; With us <the> God."
Isaiah 55:6,Luke 11:9,62,seek Yahweh when/ he lets be found/ himself call on/ him when/ is/ he near,And I myself to you say; do ask and it will be given to you; do seek and you will find; do knock and it will be opened to you.
Isaiah 45:23,Philippians 2:10,62,by/ myself I swear it goes forth from/ mouth/ my righteousness a word and/ not it will return that to/ me it will bow down every knee it will swear every tongue,"that at the name of Jesus every knee may bow in the heavens and on earth and under the earth,"
Isaiah 7:14,John 1:1,61,<to>/ therefore he will give [the] Lord he to/ you a sign there! the/ young woman [will be] pregnant and/ [will] bear a son and/ she will call name/ his Immanu- -el,"In [the] beginning was the Word, and the Word was with <the> God, and God was the Word."
Isaiah 40:5,John 1:14,61,and/ it will be revealed [the] glory of Yahweh and/ they will see [it] all flesh together for [the] mouth of Yahweh it has spoken,"And the Word flesh became and He dwelt among us, and we beheld the glory of Him, a glory as of an only begotten from [the] Father, full of grace and truth."
Isaiah 42:7,Luke 4:18,60,to/ open eyes blind to/ bring out from/ prison prisoner[s] from/ a house of imprisonment [those who] dwell of darkness,"[The] Spirit of [the] Lord [is] upon Me myself, of which because He has anointed Me to evangelise to [the] poor, He has sent Me to heal the bruised <the> heart to proclaim to [the] captives deliverance and to [the] blind recovery of sight, to send forth [the] oppressed in deliverance,"
Isaiah 28:16,Romans 10:11,60,<to>/ therefore thus he says [the] Lord Yahweh here/ I he has laid in/ Zion a stone a stone of testing a corner of preciousness of a foundation founded the/ [one who] trusts not he will make haste,Says for the Scripture; Everyone who is believing on Him not will be put to shame.
Isaiah 55:1,John 7:37,59,alas! O every thirsty [one] come to the/ waters and/ [one] who not [belongs] to/ him money come buy grain and/ eat and/ come buy grain with/ not money and/ with/ not price wine and/ milk,"In now the last day the great [day] of the feast had stood <the> Jesus and cried out saying; If anyone shall thirst, he should come to Me and should drink."
Isaiah 28:16,1 Peter 2:6,59,<to>/ therefore thus he says [the] Lord Yahweh here/ I he has laid in/ Zion a stone a stone of testing a corner of preciousness of a foundation founded the/ [one who] trusts not he will make haste,"Therefore it is contained in <the> Scripture: Behold I lay in Zion a stone cornerstone a chosen precious, and the [one] who is believing on Him certainly not may be put to shame."
Isaiah 27:2,John 15:1,59,in the/ day <the>/ that a vineyard of delight sing of/ it,"I myself am the vine <the> true, and the Father of Mine the vinedresser is."
Isaiah 44:6,Revelation 1:8,58,thus he says Yahweh [the] king of Israel and/ redeemer/ its Yahweh of hosts I [am] first and/ I [am] last and/ <from>/ except/ me there not [is] a god,"I myself am the Alpha and the Omega beginning and end says the Lord <the> God, who is being and who was and who is coming, the Almighty."
Isaiah 29:19,Matthew 5:5,58,and/ they will add humble [people] in/ Yahweh joy and/ needy [people] of humankind in/ [the] holy [one] of Israel they will be glad,"Blessed [are] the meek, for they themselves will inherit the earth."
Isaiah 44:6,Hebrews 13:8,58,thus he says Yahweh [the] king of Israel and/ redeemer/ its Yahweh of hosts I [am] first and/ I [am] last and/ <from>/ except/ me there not [is] a god,Jesus Christ yesterday and today [is] the same and to the ages.
Isaiah 29:14,1 Corinthians 1:19,57,<to>/ therefore here/ I he will repeat to/ deal wonderfully with <obj.> the/ people <the>/ this highly <deal wonderfully> and/ a wonder and/ it will perish [the] wisdom of wise [people]/ its and/ [the] understanding of understanding [people]/ its it will hide itself,"It has been written for: I will destroy the wisdom of the wise, and the intelligence of the intelligent I will frustrate."
Isaiah 52:11,2 Corinthians 6:17,56,depart depart go out from/ there an unclean [thing] may not you touch go out from/ [the] midst of/ it purify yourselves O bearers of [the] vessels of Yahweh,"Therefore do come out from [the] midst of them and do be separate, says [the] Lord, and unclean nothing do touch; and I myself will receive you,"
Isaiah 11:8,Luke 10:19,56,and/ he will play a suckling-child over [the] hole of a cobra and/ over [the] nest of a viper a weaned [child] hand/ his he will put out,"Behold I have given you the authority <the> to tread upon serpents and scorpions and upon all the power of the enemy, and no [thing] you certainly not may injure."
Isaiah 32:17,Romans 5:1,56,and/ it will be [the] work of <the>/ righteousness peace and/ [the] labor of <the>/ righteousness [will be] quietness and/ security until perpetuity,"Having been justified therefore by faith peace we have with <the> God through the Lord of us Jesus Christ,"
Isaiah 41:10,Hebrews 13:5,55,may not you be afraid for [am] with/ you I may not you fear for I [am] God/ your I have strengthened/ you also I have helped/ you also I have supported/ you with/ [the] right [hand] of righteousness/ my,"[Let be] without covetousness <the> [your] manner of life; being satisfied with the present; He Himself for has said: Certainly not you shall I leave, nor certainly not you shall I forsake;"
Isaiah 29:13,2 Timothy 3:5,53,and/ he said [the] Lord because for it has drawn near the/ people <the>/ this with/ mouth/ its and/ with/ lips/ its they have honored/ me and/ heart/ its it has made far away from/ me and/ it has been fear/ their [of]/ me a commandment of people [which] has been taught,having a form of godliness <the> but the power of it already denying. And these do yourself turn away from.
Isaiah 61:1,Matthew 11:5,53,[the] spirit of [the] Lord Yahweh [is] on/ me because he has anointed Yahweh <obj.>/ me to/ bear news humble [people] he has sent/ me to/ bind up <to>/ [people] broken of heart to/ proclaim to/ captives liberty and/ to/ prisoners re- -lease,"Blind receive sight, and lame walk, lepers are cleansed, and deaf hear, and dead are raised, and poor are evangelised;"
Isaiah 45:22,Romans 14:11,53,turn to/ me and/ be saved O all [the] ends of [the] earth for I [am] God and/ there not [is] yet,"It has been written for: Live I myself, says [the] Lord, that to Me myself will bow every knee, and every tongue will confess <the> to God."
Isaiah 40:31,2 Corinthians 4:16,52,and/ [those who] wait for <of> Yahweh they will renew strength they will go up wing[s] like <the>/ eagles they will run and/ not they will become weary they will walk and/ not they will grow weary,"Therefore not we lose heart; but if even the outward of us man is being brought to decay, yet the inner of us is being renewed by day and by day."
Isaiah 40:6,1 Peter 1:24,52,a voice [is] saying proclaim and/ he said what? will I proclaim all <the>/ flesh [is] grass and/ all loyalty/ its [is] like/ [the] flower of the/ field,"because All flesh [is] like grass, and all [the] glory of it like [the] flower of grass; Withers the grass, and the flower of him falls away;"
Isaiah 66:1,Acts 7:48,52,thus he says Yahweh the/ heavens [are] throne/ my and/ the/ earth [is] [the] footstool of feet/ my where? this [is the] house which you will build for/ me and/ where? this [is the] place rest/ my,"Yet not the Most High in hand-made temples dwells, Even as the prophet says:"
Isaiah 60:1,Matthew 5:16,51,arise shine for it has come light/ your and/ [the] glory of Yahweh on/ you it has dawned,Thus should shine the light of you before <the> men so that they may see your <the> good works and they may glorify the Father of you who [is] in the heavens.
Isaiah 59:17,Ephesians 6:14,51,and/ he put on righteousness like <the>/ body armor and/ a helmet of salvation on/ head/ his and/ he put on garments of vengeance clothing and/ he wrapped himself like <the>/ robe zeal,do stand therefore having girded the loins of you with truth and having put on the breastplate <the> of righteousness
Isaiah 59:21,John 7:38,51,and/ I this [is] covenant/ my with/ them he says Yahweh spirit/ my which [is] on/ you and/ words/ my which I have put in/ mouth/ your not they will depart from/ mouth/ your and/ from/ [the] mouth of offspring/ your and/ from/ [the] mouth of [the] offspring of offspring/ your he says Yahweh from/ now and/ until perpetuity,"The [one] believing in Me myself, even as has said the Scripture: Rivers out of the belly of him will flow of water living."
Isaiah 6:10,2 Corinthians 4:4,50,make fat [the] heart of the/ people <the>/ this and/ ears/ its make heavy and/ eyes/ its seal over lest it should see with/ eyes/ its and/ with/ ears/ its it will hear and/ heart/ its it will understand and/ it will return and/ someone will heal <to>/ it,"in whom the god of the age this has blinded the minds of the unbelieving so as for <the> not to beam forth to them the illumination of the gospel of the glory <the> of Christ, who is [the] image <the> of God."
Isaiah 60:2,2 Corinthians 4:6,50,for there! <the>/ darkness it will cover [the] earth and/ thick darkness peoples and/ on/ you he will dawn Yahweh and/ glory/ his over/ you it will appear,"For [it is] <the> God <the> having said Out of darkness light will shine, who shone in the hearts of us for [the] radiance of the knowledge of the glory <the> of God in [the] face of Jesus Christ."
